variable,coefficient,std_error
Black Race,-0.083579797,0.017723466
"High Income
Household
Rates",-0.197268098,0.035298443
"Highest
Education
Level: High
School",0.069798992,0.03334998
"Highest
Education
Level: Some
College",-0.12139849,0.037418881
"Population
Density",-0.000924094,9.14E-05
"Urban
Indicator",-7.126210905,0.578450554
